Player,GP,MIN,PTS,FG%,3PA,3P%,REB,AST,TO,STL,BLK,Close FGA,Close FG%,Mid FGA,Mid FG%,Post_Ups,Drives,Height,Pos,TEAM,Class
TJ Warren: 2018,43.0,31.6,18.0,48.6,4.2,42.8,4.0,1.5,1.2,1.2,0.7,7.6,56.6,2.4,35.0,0.7,6.8,80.0,SF,PHX,2
Taj Gibson: 2018,70.0,24.1,10.8,56.6,0.5,32.4,6.5,1.2,1.0,0.8,0.6,6.3,60.3,0.9,43.9,3.0,0.8,81.0,PF,MIN,2
Taurean Prince: 2018,55.0,28.2,13.5,44.1,5.7,39.0,3.6,2.1,1.8,1.0,0.3,3.7,54.1,1.4,40.8,0.1,5.7,80.0,SF,ATL,4
Terry Rozier: 2018,79.0,22.7,9.0,38.7,4.3,35.3,3.9,2.9,0.9,0.9,0.3,3.0,50.0,1.1,26.1,0.0,4.9,73.0,PG,BOS,1
Thaddeus Young: 2018,81.0,30.7,12.6,52.7,1.8,34.9,6.5,2.5,1.5,1.5,0.4,8.0,58.8,0.7,20.4,5.1,1.8,80.0,PF,IND,2
Thomas Bryant: 2018,72.0,20.8,10.5,61.6,1.4,33.3,6.3,1.3,0.8,0.3,0.9,4.6,76.1,1.0,44.3,0.6,0.4,83.0,C,WAS,3
Tim Hardaway Jr: 2018,65.0,31.6,18.1,39.3,7.3,34.0,3.4,2.4,1.6,0.8,0.1,4.9,44.9,3.1,42.0,0.4,5.4,78.0,SG,DAL,4
Tomas Satoransky: 2018,80.0,27.0,8.9,48.5,2.0,39.5,3.5,5.0,1.5,1.0,0.2,3.7,59.5,0.9,33.3,0.2,6.9,79.0,PG,WAS,4
Trae Young: 2018,81.0,30.9,19.1,41.8,6.0,32.4,3.7,8.1,3.8,0.9,0.2,7.9,50.6,1.7,34.5,0.0,17.6,74.0,PG,ATL,0
Treveon Graham: 2018,35.0,20.4,5.3,33.5,3.7,29.7,3.1,1.0,0.5,0.4,0.2,1.4,42.9,0.4,40.0,0.1,2.3,77.0,SG,BKN,1
Trevor Ariza: 2018,69.0,34.0,12.5,39.9,6.3,33.4,5.4,3.7,1.5,1.3,0.3,3.8,50.0,0.6,42.1,0.6,6.0,80.0,SF,WAS,4
Tristan Thompson: 2018,43.0,27.9,10.9,52.9,0.0,0.0,10.2,2.0,1.4,0.7,0.4,8.1,54.3,0.7,38.7,3.1,1.8,82.0,C,CLE,3
Tyler Johnson: 2018,57.0,26.8,10.9,41.3,4.6,34.6,3.0,2.9,1.4,0.9,0.5,3.8,52.6,0.9,28.8,0.0,6.8,76.0,PG,PHX,4
Tyreke Evans: 2018,69.0,20.3,10.2,38.9,3.1,35.6,2.9,2.4,1.7,0.8,0.3,5.1,43.1,1.4,32.3,0.3,6.5,78.0,SG,IND,1
Wayne Ellington: 2018,53.0,24.5,10.3,40.3,7.0,37.1,2.0,1.4,0.8,1.0,0.1,1.2,66.7,0.4,30.0,0.0,1.9,77.0,SG,DET,1
