Player,Minutes,AST %,REB %,USG %
Tyler Herro,27.4,13.1,7.2,21.3
Tyler Johnson,18.2,15.3,4.9,17.7
Tyler Zeller,1.9,0.0,30.8,26.7
Tyrone Wallace,11.5,12.3,6.5,15.4
Tyson Chandler,8.4,3.7,13.3,5.7
Tyus Jones,19.0,31.4,3.8,16.5
Udonis Haslem,11.0,4.8,17.4,14.7
Vic Law,7.7,8.6,8.5,15.0
Victor Oladipo,27.8,15.9,6.9,25.9
Vince Carter,14.6,8.1,6.5,16.3
Vincent Poirier,5.9,8.8,14.4,14.1
Vlatko Cancar,3.2,8.6,11.4,17.7
Wayne Ellington,15.5,11.7,5.4,14.6
Wendell Carter Jr.,29.2,6.2,15.6,16.2
Wenyen Gabriel,7.8,4.6,11.0,12.4
Wes Iwundu,18.3,8.9,6.5,13.4
Wesley Matthews,24.4,7.0,4.5,12.3
Will Barton,33.0,15.7,9.4,19.7
William Howard,6.6,20.0,7.7,15.2
Willie Cauley-Stein,20.3,9.8,13.6,14.4
Willy Hernangomez,12.1,13.6,17.1,22.2
Wilson Chandler,21.0,8.0,9.1,12.8
Yogi Ferrell,10.6,19.6,4.6,18.5
Yuta Watanabe,5.8,6.6,8.7,14.9
Zach Collins,26.4,6.7,12.3,12.6
Zach LaVine,34.8,21.8,7.0,31.2
Zach Norvell Jr.,8.2,9.1,8.6,14.7
Zhaire Smith,4.6,8.3,3.1,16.5
Zion Williamson,27.8,11.9,10.4,29.1
Zylan Cheatham,12.8,9.4,9.5,10.3
